KABUPATEN CILACAP, -7.57417, 108.98861
KABUPATEN BANYUMAS, -7.45, 109.16667
KABUPATEN PURBALINGGA, -7.28417, 109.35028
KABUPATEN BANJARNEGARA, -7.35111, 109.5875
KABUPATEN KEBUMEN, -7.63917, 109.66056
KABUPATEN PURWOREJO, -7.7, 109.96667
KABUPATEN WONOSOBO, -7.36139, 109.92667
KABUPATEN MAGELANG, -7.4275, 110.16194
KABUPATEN BOYOLALI, -7.5, 110.7
KABUPATEN KLATEN, -7.68333, 110.61667
KABUPATEN SUKOHARJO, -7.68333, 110.83333
KABUPATEN WONOGIRI, -7.91667, 111
KABUPATEN KARANGANYAR, -7.62806, 111.0625
KABUPATEN SRAGEN, -7.41278, 110.935
KABUPATEN GROBOGAN, -7.11667, 110.91667
KABUPATEN BLORA, -7.06667, 111.38333
KABUPATEN REMBANG, -6.78333, 111.46667
KABUPATEN PATI, -6.76667, 111.1
KABUPATEN KUDUS, -6.8, 110.86667
KABUPATEN JEPARA, -6.58333, 110.76667
KABUPATEN DEMAK, -6.8993, 110.6122
KABUPATEN SEMARANG, -7.20667, 110.44139
KABUPATEN TEMANGGUNG, -7.25, 110.11667
KABUPATEN KENDAL, -7.0256, 110.1685
KABUPATEN BATANG, -7.03333, 109.88333
KABUPATEN PEKALONGAN, -7.0319, 109.624
KABUPATEN PEMALANG, -7.03333, 109.4
KABUPATEN TEGAL, -7.03333, 109.16667
KABUPATEN BREBES, -7.05, 108.9
KOTA MAGELANG, -7.5, 110.225
KOTA SURAKARTA, -7.55, 110.81667
KOTA SALATIGA, -7.33278, 110.48333
KOTA SEMARANG, -7.03333, 110.38333
KOTA PEKALONGAN, -6.9, 109.68333
KOTA TEGAL, -6.8686, 109.1129
