KABUPATEN PACITAN, -8.13333, 111.16667
KABUPATEN PONOROGO, -7.93333, 111.5
KABUPATEN TRENGGALEK, -8.16667, 111.61667
KABUPATEN TULUNGAGUNG, -8.11667, 111.91667
KABUPATEN BLITAR, -8.13333, 112.25
KABUPATEN KEDIRI, -7.83333, 112.16667
KABUPATEN MALANG, -8.16667, 112.66667
KABUPATEN LUMAJANG, -8.11667, 113.15
KABUPATEN JEMBER, -8.25, 113.65
KABUPATEN BANYUWANGI, -8.33333, 114.2
KABUPATEN BONDOWOSO, -7.9404, 113.9834
KABUPATEN SITUBONDO, -7.71667, 114.05
KABUPATEN PROBOLINGGO, -7.86667, 113.31667
KABUPATEN PASURUAN, -7.73333, 112.83333
KABUPATEN SIDOARJO, -7.45, 112.7
KABUPATEN MOJOKERTO, -7.55, 112.5
KABUPATEN JOMBANG, -7.55, 112.25
KABUPATEN NGANJUK, -7.6, 111.93333
KABUPATEN MADIUN, -7.61667, 111.65
KABUPATEN MAGETAN, -7.64472, 111.35917
KABUPATEN NGAWI, -7.47444, 111.33444
KABUPATEN BOJONEGORO, -7.25, 111.8
KABUPATEN TUBAN, -6.96667, 111.9
KABUPATEN LAMONGAN, -7.13333, 112.31667
KABUPATEN GRESIK, -7.1933, 112.553
KABUPATEN BANGKALAN, -7.05, 112.93333
KABUPATEN SAMPANG, -7.05, 113.25
KABUPATEN PAMEKASAN, -7.06667, 113.5
KABUPATEN SUMENEP, -7.11667, 114.33333
KOTA KEDIRI, -7.83333, 112.01667
KOTA BLITAR, -8.1, 112.16667
KOTA MALANG, -7.975, 112.63333
KOTA PROBOLINGGO, -7.78333, 113.21667
KOTA PASURUAN, -7.65, 112.9
KOTA MOJOKERTO, -7.46667, 112.43333
KOTA MADIUN, -7.63333, 111.53333
KOTA SURABAYA, -7.26667, 112.71667
KOTA BATU, -7.83272, 112.53751
